epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.38752,1.9697,4.62878,1.32131,0.02248,0.36488,0.0225,0.0154,1.75761,4.85554,1.18852,0.09406,6e-05,6e-05
2,14.7088,1.93733,4.29979,1.35084,0.03279,0.34528,0.03469,0.02461,1.61262,3.60793,1.14063,0.0871287,0.000128713,0.000128713
3,20.386,1.84273,3.45392,1.32957,0.14363,0.18688,0.07518,0.05056,1.56783,2.27062,1.13821,0.080196,0.00019604,0.00019604
4,25.8501,1.81578,2.55158,1.24414,0.09866,0.19102,0.09687,0.05792,1.50245,1.76911,1.12802,0.073262,0.000261981,0.000261981
5,30.9391,1.70153,1.93841,1.26259,0.91521,0.12441,0.1141,0.06604,1.45548,2.08438,1.11243,0.0663265,0.000326536,0.000326536
6,36.4916,1.77563,1.68283,1.34463,0.51891,0.13584,0.12718,0.07372,1.45555,1.59968,1.11022,0.0593897,0.000389705,0.000389705
7,41.688,1.60733,1.46159,1.18315,0.10962,0.18762,0.13424,0.07686,1.45195,1.38353,1.0969,0.0524515,0.000451488,0.000451488
8,47.253,1.61466,1.4046,1.22151,0.31158,0.18974,0.13627,0.07634,1.44588,1.40188,1.09698,0.0455119,0.000511885,0.000511885
9,52.6023,1.56163,1.32433,1.16087,0.92462,0.14678,0.14082,0.07519,1.44429,1.37988,1.09209,0.0385709,0.000570896,0.000570896
10,57.6915,1.51017,1.30188,1.1867,0.13791,0.20912,0.15706,0.08767,1.41046,1.23488,1.09135,0.0316285,0.000628521,0.000628521
11,63.2349,1.4451,1.13464,1.11609,0.55926,0.1888,0.16563,0.08714,1.43848,1.27217,1.09368,0.0246848,0.00068476,0.00068476
12,68.4872,1.52107,1.11881,1.15593,0.76456,0.20147,0.17803,0.09799,1.40053,1.42066,1.09016,0.0177396,0.000739613,0.000739613
13,73.7188,1.37946,1.10665,1.13748,0.77586,0.1967,0.18052,0.10222,1.39465,1.34733,1.08914,0.0107931,0.00079308,0.00079308
14,79.3645,1.48116,1.08472,1.13483,0.77988,0.21027,0.18715,0.10051,1.40345,1.43605,1.08201,0.00384516,0.000845161,0.000845161
15,84.5386,1.43372,1.01576,1.09863,0.5884,0.20644,0.18985,0.10699,1.39027,1.22132,1.0817,0.0008614,0.0008614,0.0008614
16,90.3096,1.39019,0.95198,1.05785,0.59842,0.20386,0.19128,0.1088,1.36386,1.20285,1.07953,0.0008515,0.0008515,0.0008515
17,95.7366,1.38144,0.99181,1.09911,0.58973,0.20622,0.18965,0.10989,1.36199,1.14965,1.08006,0.0008416,0.0008416,0.0008416
18,101.046,1.45052,0.98684,1.09795,0.60414,0.20142,0.19633,0.11068,1.37706,1.15727,1.07702,0.0008317,0.0008317,0.0008317
19,106.659,1.40291,0.93788,1.08345,0.59572,0.20051,0.19686,0.1119,1.36887,1.12225,1.07739,0.0008218,0.0008218,0.0008218
20,111.875,1.38894,0.97162,1.09564,0.59806,0.20555,0.21547,0.12637,1.32978,1.0879,1.07052,0.0008119,0.0008119,0.0008119
21,117.553,1.41243,0.97009,1.10557,0.5963,0.20864,0.2146,0.12408,1.35307,1.08548,1.07265,0.000802,0.000802,0.000802
22,123.198,1.40474,0.96252,1.10545,0.79995,0.19994,0.2286,0.13295,1.36122,1.07957,1.07329,0.0007921,0.0007921,0.0007921
23,128.298,1.39216,0.95793,1.11955,0.36233,0.25413,0.24955,0.14769,1.34805,1.04916,1.07011,0.0007822,0.0007822,0.0007822
24,133.941,1.37187,0.95662,1.09085,0.41076,0.28083,0.27028,0.16049,1.33105,1.03149,1.06709,0.0007723,0.0007723,0.0007723
25,139.256,1.32208,0.90947,1.049,0.378,0.25217,0.27129,0.16069,1.32633,1.0424,1.06634,0.0007624,0.0007624,0.0007624
26,144.702,1.35387,0.94304,1.07088,0.45107,0.31885,0.28525,0.17173,1.31474,1.05153,1.0604,0.0007525,0.0007525,0.0007525
27,150.321,1.34111,0.91354,1.07455,0.45689,0.35629,0.29164,0.17359,1.2947,1.03771,1.05558,0.0007426,0.0007426,0.0007426
